Player,Hero,Round,Opponent,Opponent Hero,Result
Antonio Kutter,"Prism, Awakener of Sol",Round 2,Francesco Giorgio,"Florian, Rotwood Harbinger",Loss
Francesco Giorgio,"Florian, Rotwood Harbinger",Round 2,Antonio Kutter,"Prism, Awakener of Sol",Win
Wojciech Andrusewicz,"Gravy Bones, Shipwrecked Looter",Round 2,Alessandro Tassini,"Florian, Rotwood Harbinger",Loss
Alessandro Tassini,"Florian, Rotwood Harbinger",Round 2,Wojciech Andrusewicz,"Gravy Bones, Shipwrecked Looter",Win
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 2,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 2,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Marco Nogarole,"Cindra, Dracai of Retribution",Round 2,Alessandro Sgura,"Vynnset, Iron Maiden",Loss
Alessandro Sgura,"Vynnset, Iron Maiden",Round 2,Marco Nogarole,"Cindra, Dracai of Retribution",Win
George Chew,"Kayo, Armed and Dangerous",Round 2,Duccio Capanni,"Victor Goldmane, High and Mighty",Win
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 2,George Chew,"Kayo, Armed and Dangerous",Loss
Adrien Druart,"Nuu, Alluring Desire",Round 2,Chang Li,"Victor Goldmane, High and Mighty",Loss
Chang Li,"Victor Goldmane, High and Mighty",Round 2,Adrien Druart,"Nuu, Alluring Desire",Win
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 2,Mihai Zorila,"Cindra, Dracai of Retribution",Loss
Mihai Zorila,"Cindra, Dracai of Retribution",Round 2,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Win
Bartosz Dobrowolski,"Arakni, Marionette",Round 2,Maciej Szawica,"Kayo, Armed and Dangerous",Win
Maciej Szawica,"Kayo, Armed and Dangerous",Round 2,Bartosz Dobrowolski,"Arakni, Marionette",Loss
Kinga Piper Balázs,"Cindra, Dracai of Retribution",Round 2,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 2,Kinga Piper Balázs,"Cindra, Dracai of Retribution",Win
Riccardo Di Cesare,Kassai of the Golden Sand,Round 2,Victor Lenoble,"Kayo, Armed and Dangerous",Loss
Victor Lenoble,"Kayo, Armed and Dangerous",Round 2,Riccardo Di Cesare,Kassai of the Golden Sand,Win
Alexandros Argyriou,"Cindra, Dracai of Retribution",Round 2,Oliver Kuhrt,"Puffin, Hightail",Win
Oliver Kuhrt,"Puffin, Hightail",Round 2,Alexandros Argyriou,"Cindra, Dracai of Retribution",Loss
Karanjeet Singh,Dash I/O,Round 2,Tigran Grigorian,"Florian, Rotwood Harbinger",Win
Tigran Grigorian,"Florian, Rotwood Harbinger",Round 2,Karanjeet Singh,Dash I/O,Loss
Andrea Nicastro,"Kano, Dracai of Aether",Round 2,Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Loss
Stephen Berlyant,"Gravy Bones, Shipwrecked Looter",Round 2,Andrea Nicastro,"Kano, Dracai of Aether",Win
Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Round 2,Leoluca Colletti,"Nuu, Alluring Desire",Loss
Leoluca Colletti,"Nuu, Alluring Desire",Round 2,Thorbjørn Lind Jensen,"Azalea, Ace in the Hole",Win
Maniša Njegomir,"Kano, Dracai of Aether",Round 2,Kugane Gaming,"Cindra, Dracai of Retribution",Win
Kugane Gaming,"Cindra, Dracai of Retribution",Round 2,Maniša Njegomir,"Kano, Dracai of Aether",Loss
Tomasz Żelazko,"Marlynn, Treasure Hunter",Round 2,Wojciech Arendt,"Prism, Awakener of Sol",Win
Wojciech Arendt,"Prism, Awakener of Sol",Round 2,Tomasz Żelazko,"Marlynn, Treasure Hunter",Loss
Boris Melnykov,"Nuu, Alluring Desire",Round 2,Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Loss
Brodie Spurlock,"Gravy Bones, Shipwrecked Looter",Round 2,Boris Melnykov,"Nuu, Alluring Desire",Win
Finn Baird,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 2,Jan-Hendrik Brinkforth,Jarl Vetreiði,Loss
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 2,Finn Baird,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Isidoros Popovits,"Azalea, Ace in the Hole",Round 2,"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Loss
"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Round 2,Isidoros Popovits,"Azalea, Ace in the Hole",Win
Jorge Jimenez,"Florian, Rotwood Harbinger",Round 2,Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Win
Alberto Di Blasi,"Gravy Bones, Shipwrecked Looter",Round 2,Jorge Jimenez,"Florian, Rotwood Harbinger",Loss
Roberto Andreocci,"Ira, Scarlet Revenger",Round 2,Yorick Schulte,Kassai of the Golden Sand,Loss
Yorick Schulte,Kassai of the Golden Sand,Round 2,Roberto Andreocci,"Ira, Scarlet Revenger",Win
riccardo battaglia,"Verdance, Thorn of the Rose",Round 2,Davide Cimmino,"Azalea, Ace in the Hole",Win
Davide Cimmino,"Azalea, Ace in the Hole",Round 2,riccardo battaglia,"Verdance, Thorn of the Rose",Loss
Luis Toeffels,"Azalea, Ace in the Hole",Round 2,Martin Holík,"Kano, Dracai of Aether",Loss
Martin Holík,"Kano, Dracai of Aether",Round 2,Luis Toeffels,"Azalea, Ace in the Hole",Win
James Brookes,"Nuu, Alluring Desire",Round 2,Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Loss
Sergio Sanz Guerrero,"Azalea, Ace in the Hole",Round 2,James Brookes,"Nuu, Alluring Desire",Win
René Rosenberg,"Arakni, Marionette",Round 2,Mario Donoso,"Florian, Rotwood Harbinger",Loss
Mario Donoso,"Florian, Rotwood Harbinger",Round 2,René Rosenberg,"Arakni, Marionette",Win
Pietro Motta,"Puffin, Hightail",Round 2,Erik Baalhuis,"Rhinar, Reckless Rampage",Loss
Erik Baalhuis,"Rhinar, Reckless Rampage",Round 2,Pietro Motta,"Puffin, Hightail",Win
Francesco Zampieri,"Cindra, Dracai of Retribution",Round 2,Giacomo Mosca,"Verdance, Thorn of the Rose",Loss
Giacomo Mosca,"Verdance, Thorn of the Rose",Round 2,Francesco Zampieri,"Cindra, Dracai of Retribution",Win
Jeremy Miller,"Nuu, Alluring Desire",Round 2,Daniele Frattarelli,"Florian, Rotwood Harbinger",Loss
Daniele Frattarelli,"Florian, Rotwood Harbinger",Round 2,Jeremy Miller,"Nuu, Alluring Desire",Win
Mika Vainio,"Ser Boltyn, Breaker of Dawn",Round 2,Arianna Rinaldi,"Puffin, Hightail",Win
Arianna Rinaldi,"Puffin, Hightail",Round 2,Mika Vainio,"Ser Boltyn, Breaker of Dawn",Loss
piero scheriani,"Fai, Rising Rebellion",Round 2,Paolo D’Innocenzo,Kassai of the Golden Sand,Win
Paolo D’Innocenzo,Kassai of the Golden Sand,Round 2,piero scheriani,"Fai, Rising Rebellion",Loss
Juan Victor Echeverria,"Gravy Bones, Shipwrecked Looter",Round 2,Natan Tomeo,"Verdance, Thorn of the Rose",Loss
Natan Tomeo,"Verdance, Thorn of the Rose",Round 2,Juan Victor Echeverria,"Gravy Bones, Shipwrecked Looter",Win
Plamen Kutinchev,"Arakni, Marionette",Round 2,Valerio Colonna,"Nuu, Alluring Desire",Win
Valerio Colonna,"Nuu, Alluring Desire",Round 2,Plamen Kutinchev,"Arakni, Marionette",Loss
Daniel Mulato,"Azalea, Ace in the Hole",Round 2,Ivaylo Ivanov,"Azalea, Ace in the Hole",Loss
Ivaylo Ivanov,"Azalea, Ace in the Hole",Round 2,Daniel Mulato,"Azalea, Ace in the Hole",Win
Tore Eskeland,"Florian, Rotwood Harbinger",Round 2,Sebastiano Zagatti,"Azalea, Ace in the Hole",Win
Sebastiano Zagatti,"Azalea, Ace in the Hole",Round 2,Tore Eskeland,"Florian, Rotwood Harbinger",Loss
Adrián Marín,"Florian, Rotwood Harbinger",Round 2,Pierre-Yves Garcia,"Ira, Scarlet Revenger",Loss
Pierre-Yves Garcia,"Ira, Scarlet Revenger",Round 2,Adrián Marín,"Florian, Rotwood Harbinger",Win
Matteo Lista,"Oscilio, Constella Intelligence",Round 2,Massimo D'Amato,"Florian, Rotwood Harbinger",Win
Massimo D'Amato,"Florian, Rotwood Harbinger",Round 2,Matteo Lista,"Oscilio, Constella Intelligence",Loss
Michael Feng,"Nuu, Alluring Desire",Round 2,Guillermo Revilla,"Arakni, Marionette",Win
Guillermo Revilla,"Arakni, Marionette",Round 2,Michael Feng,"Nuu, Alluring Desire",Loss
Sergio Amigo,"Nuu, Alluring Desire",Round 2,Gabriele Giacomelli,Dash I/O,Win
Gabriele Giacomelli,Dash I/O,Round 2,Sergio Amigo,"Nuu, Alluring Desire",Loss
Tom Escoffier,"Arakni, Marionette",Round 2,Simone Rainaldi,"Oscilio, Constella Intelligence",Loss
Simone Rainaldi,"Oscilio, Constella Intelligence",Round 2,Tom Escoffier,"Arakni, Marionette",Win
Sotiris Konstantelos,"Puffin, Hightail",Round 2,Federico Sirri,Kassai of the Golden Sand,Loss
Federico Sirri,Kassai of the Golden Sand,Round 2,Sotiris Konstantelos,"Puffin, Hightail",Win
Matthew Brown,"Fang, Dracai of Blades",Round 2,Flavio Dollani,"Azalea, Ace in the Hole",Loss
Flavio Dollani,"Azalea, Ace in the Hole",Round 2,Matthew Brown,"Fang, Dracai of Blades",Win
Gianluca Razza,"Verdance, Thorn of the Rose",Round 2,Diogo Vala,"Azalea, Ace in the Hole",Loss
Diogo Vala,"Azalea, Ace in the Hole",Round 2,Gianluca Razza,"Verdance, Thorn of the Rose",Win
Jurij Di Carlo,"Florian, Rotwood Harbinger",Round 2,Marcin Chorzepa,"Oscilio, Constella Intelligence",Win
Marcin Chorzepa,"Oscilio, Constella Intelligence",Round 2,Jurij Di Carlo,"Florian, Rotwood Harbinger",Loss
Jakub Mares,"Gravy Bones, Shipwrecked Looter",Round 2,Eugene C,"Rhinar, Reckless Rampage",Loss
Eugene C,"Rhinar, Reckless Rampage",Round 2,Jakub Mares,"Gravy Bones, Shipwrecked Looter",Win
Tilen Blazinšek,"Nuu, Alluring Desire",Round 2,Adrian Słowiński,"Azalea, Ace in the Hole",Win
Adrian Słowiński,"Azalea, Ace in the Hole",Round 2,Tilen Blazinšek,"Nuu, Alluring Desire",Loss
Stefano Galli,"Verdance, Thorn of the Rose",Round 2,David Bettoli,"Prism, Awakener of Sol",Win
David Bettoli,"Prism, Awakener of Sol",Round 2,Stefano Galli,"Verdance, Thorn of the Rose",Loss
Andrea Malpassi,"Cindra, Dracai of Retribution",Round 2,Alberto Hernández Martin,"Vynnset, Iron Maiden",Win
Alberto Hernández Martin,"Vynnset, Iron Maiden",Round 2,Andrea Malpassi,"Cindra, Dracai of Retribution",Loss
Paweł Romanowski,"Kayo, Armed and Dangerous",Round 2,Florian Grabenstein,"Kayo, Armed and Dangerous",Win
Florian Grabenstein,"Kayo, Armed and Dangerous",Round 2,Paweł Romanowski,"Kayo, Armed and Dangerous",Loss
Davide Brigida,"Puffin, Hightail",Round 2,Andrea Caregnato,"Rhinar, Reckless Rampage",Loss
Andrea Caregnato,"Rhinar, Reckless Rampage",Round 2,Davide Brigida,"Puffin, Hightail",Win
Davide Ricci,"Prism, Awakener of Sol",Round 2,Demetrio Bori,Dash I/O,Win
Demetrio Bori,Dash I/O,Round 2,Davide Ricci,"Prism, Awakener of Sol",Loss
Davide Ierardi,"Marlynn, Treasure Hunter",Round 2,Gabriele Panichi,"Prism, Awakener of Sol",Loss
Gabriele Panichi,"Prism, Awakener of Sol",Round 2,Davide Ierardi,"Marlynn, Treasure Hunter",Win
Jakub Kulpinski,"Puffin, Hightail",Round 2,George Rodger,"Gravy Bones, Shipwrecked Looter",Loss
George Rodger,"Gravy Bones, Shipwrecked Looter",Round 2,Jakub Kulpinski,"Puffin, Hightail",Win
Gregory Patellis,"Prism, Awakener of Sol",Round 2,Christian Fichtner,"Nuu, Alluring Desire",Win
Christian Fichtner,"Nuu, Alluring Desire",Round 2,Gregory Patellis,"Prism, Awakener of Sol",Loss
Ismael Boulbaz,"Florian, Rotwood Harbinger",Round 2,Alex Chițu,"Azalea, Ace in the Hole",Loss
Alex Chițu,"Azalea, Ace in the Hole",Round 2,Ismael Boulbaz,"Florian, Rotwood Harbinger",Win
Mirko Macchia,"Azalea, Ace in the Hole",Round 2,Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Win
Nicolas Ziegler,"Gravy Bones, Shipwrecked Looter",Round 2,Mirko Macchia,"Azalea, Ace in the Hole",Loss
Jacob Walter,"Verdance, Thorn of the Rose",Round 2,Aurelien Souchet,"Verdance, Thorn of the Rose",Win
Aurelien Souchet,"Verdance, Thorn of the Rose",Round 2,Jacob Walter,"Verdance, Thorn of the Rose",Loss
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 2,Alessio Bouko,"Puffin, Hightail",Win
Alessio Bouko,"Puffin, Hightail",Round 2,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Loss
Samuel Mudry,"Kano, Dracai of Aether",Round 2,Léo Masson,"Kano, Dracai of Aether",Loss
Léo Masson,"Kano, Dracai of Aether",Round 2,Samuel Mudry,"Kano, Dracai of Aether",Win
Jonas Benzarti,"Arakni, Marionette",Round 2,Iacopo Lau,"Azalea, Ace in the Hole",Win
Iacopo Lau,"Azalea, Ace in the Hole",Round 2,Jonas Benzarti,"Arakni, Marionette",Loss
Lancelot Errico,"Florian, Rotwood Harbinger",Round 2,Patrycjusz Janas,Jarl Vetreiði,Win
Patrycjusz Janas,Jarl Vetreiði,Round 2,Lancelot Errico,"Florian, Rotwood Harbinger",Loss
Marek Luczak,"Cindra, Dracai of Retribution",Round 2,Morris Prem,"Arakni, Marionette",Win
Morris Prem,"Arakni, Marionette",Round 2,Marek Luczak,"Cindra, Dracai of Retribution",Loss
Simone Sieli,"Azalea, Ace in the Hole",Round 2,Gaia Bormida,Dorinthea Ironsong,Loss
Gaia Bormida,Dorinthea Ironsong,Round 2,Simone Sieli,"Azalea, Ace in the Hole",Win
Xavier Mudry,"Oscilio, Constella Intelligence",Round 2,None,,Win
None,,Round 2,Xavier Mudry,"Oscilio, Constella Intelligence",Loss
Maximilian Schmidt,"Verdance, Thorn of the Rose",Round 3,Filip Mikołajczyk,"Cindra, Dracai of Retribution",Loss
Filip Mikołajczyk,"Cindra, Dracai of Retribution",Round 3,Maximilian Schmidt,"Verdance, Thorn of the Rose",Win
Maurice Hostettler,"Azalea, Ace in the Hole",Round 3,Marco Casadio,Dash I/O,Win
Marco Casadio,Dash I/O,Round 3,Maurice Hostettler,"Azalea, Ace in the Hole",Loss
Léo Baty,Kassai of the Golden Sand,Round 3,Daniele Coppola,"Cindra, Dracai of Retribution",Win
Daniele Coppola,"Cindra, Dracai of Retribution",Round 3,Léo Baty,Kassai of the Golden Sand,Loss
Daniel Li,"Cindra, Dracai of Retribution",Round 3,axilleas siskopoulos,"Vynnset, Iron Maiden",Loss
axilleas siskopoulos,"Vynnset, Iron Maiden",Round 3,Daniel Li,"Cindra, Dracai of Retribution",Win
Vasil Popov,"Arakni, Marionette",Round 3,Filippo Barbani,"Victor Goldmane, High and Mighty",Loss
Filippo Barbani,"Victor Goldmane, High and Mighty",Round 3,Vasil Popov,"Arakni, Marionette",Win
Anton Cid Mejias,"Arakni, Marionette",Round 3,Francesco Motta,"Fang, Dracai of Blades",Win
Francesco Motta,"Fang, Dracai of Blades",Round 3,Anton Cid Mejias,"Arakni, Marionette",Loss
Florian Schmidt,"Prism, Awakener of Sol",Round 3,Emlyn Ingram,"Prism, Awakener of Sol",Loss
Emlyn Ingram,"Prism, Awakener of Sol",Round 3,Florian Schmidt,"Prism, Awakener of Sol",Win
Pablo Pintor,"Nuu, Alluring Desire",Round 3,Edoardo La Rosa,"Vynnset, Iron Maiden",Win
Edoardo La Rosa,"Vynnset, Iron Maiden",Round 3,Pablo Pintor,"Nuu, Alluring Desire",Loss
Tiziano Suran,"Azalea, Ace in the Hole",Round 3,Matteo Blasi,"Florian, Rotwood Harbinger",Win
Matteo Blasi,"Florian, Rotwood Harbinger",Round 3,Tiziano Suran,"Azalea, Ace in the Hole",Loss
Federico Lami,"Vynnset, Iron Maiden",Round 3,Theofrastos Matakoulias,"Puffin, Hightail",Win
Theofrastos Matakoulias,"Puffin, Hightail",Round 3,Federico Lami,"Vynnset, Iron Maiden",Loss
Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Round 3,Andrea Tosi,"Florian, Rotwood Harbinger",Win
Andrea Tosi,"Florian, Rotwood Harbinger",Round 3,Bogdan-Andrei Oros,"Florian, Rotwood Harbinger",Loss
Lorenzo Latino,"Victor Goldmane, High and Mighty",Round 3,Finlay Freir,"Vynnset, Iron Maiden",Win
Finlay Freir,"Vynnset, Iron Maiden",Round 3,Lorenzo Latino,"Victor Goldmane, High and Mighty",Loss
Stefania Patsou,"Cindra, Dracai of Retribution",Round 3,Gilles Molina,"Prism, Awakener of Sol",Loss
Gilles Molina,"Prism, Awakener of Sol",Round 3,Stefania Patsou,"Cindra, Dracai of Retribution",Win
Savinien Castel,"Nuu, Alluring Desire",Round 3,Tomasz Zalejski,Kassai of the Golden Sand,Loss
Tomasz Zalejski,Kassai of the Golden Sand,Round 3,Savinien Castel,"Nuu, Alluring Desire",Win
Yorgos Samaras,"Cindra, Dracai of Retribution",Round 3,Jakub Kouřil,"Prism, Awakener of Sol",Win
Jakub Kouřil,"Prism, Awakener of Sol",Round 3,Yorgos Samaras,"Cindra, Dracai of Retribution",Loss
Daniel Correas,"Azalea, Ace in the Hole",Round 3,Erik Skinstad,"Vynnset, Iron Maiden",Win
Erik Skinstad,"Vynnset, Iron Maiden",Round 3,Daniel Correas,"Azalea, Ace in the Hole",Loss
Andrea Milaneschi,"Vynnset, Iron Maiden",Round 3,Marcel Harz,"Prism, Awakener of Sol",Win
Marcel Harz,"Prism, Awakener of Sol",Round 3,Andrea Milaneschi,"Vynnset, Iron Maiden",Loss
Viet Pham,"Nuu, Alluring Desire",Round 3,Sammy Weckx,"Prism, Awakener of Sol",Loss
Sammy Weckx,"Prism, Awakener of Sol",Round 3,Viet Pham,"Nuu, Alluring Desire",Win
Ralph Schlauri,"Verdance, Thorn of the Rose",Round 3,Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Loss
Alvaro Francisco Toledano Benito,"Nuu, Alluring Desire",Round 3,Ralph Schlauri,"Verdance, Thorn of the Rose",Win
Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Round 3,Alessandro Segradin,Dash I/O,Win
Alessandro Segradin,Dash I/O,Round 3,Guillem Las Heras Aixandri,"Verdance, Thorn of the Rose",Loss
George Melissakis,"Prism, Awakener of Sol",Round 3,Szabolcs Egri,"Nuu, Alluring Desire",Loss
Szabolcs Egri,"Nuu, Alluring Desire",Round 3,George Melissakis,"Prism, Awakener of Sol",Win
Charlie Fahey,"Kano, Dracai of Aether",Round 3,Lewis Miller,"Verdance, Thorn of the Rose",Win
Lewis Miller,"Verdance, Thorn of the Rose",Round 3,Charlie Fahey,"Kano, Dracai of Aether",Loss
Gary White,"Kano, Dracai of Aether",Round 3,Alexander Hempelmann,"Kano, Dracai of Aether",Loss
Alexander Hempelmann,"Kano, Dracai of Aether",Round 3,Gary White,"Kano, Dracai of Aether",Win
Ferdinand Wenke,"Florian, Rotwood Harbinger",Round 3,Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Loss
Jonathan YUSTE,"Gravy Bones, Shipwrecked Looter",Round 3,Ferdinand Wenke,"Florian, Rotwood Harbinger",Win
Alessandro Bracci,"Verdance, Thorn of the Rose",Round 3,Vasilis Kirlis,"Nuu, Alluring Desire",Win
Vasilis Kirlis,"Nuu, Alluring Desire",Round 3,Alessandro Bracci,"Verdance, Thorn of the Rose",Loss
Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Round 3,Bartosz Ziemba,"Verdance, Thorn of the Rose",Loss
Bartosz Ziemba,"Verdance, Thorn of the Rose",Round 3,Maximilian Klein,"Gravy Bones, Shipwrecked Looter",Win
Matthew Duggan,"Kano, Dracai of Aether",Round 3,Stefano Meoni,"Azalea, Ace in the Hole",Loss
Stefano Meoni,"Azalea, Ace in the Hole",Round 3,Matthew Duggan,"Kano, Dracai of Aether",Win
Ruben Exposito,"Kano, Dracai of Aether",Round 3,Yassine Echafai Tripiana,"Vynnset, Iron Maiden",Win
Yassine Echafai Tripiana,"Vynnset, Iron Maiden",Round 3,Ruben Exposito,"Kano, Dracai of Aether",Loss
Giannis Koumidis,"Nuu, Alluring Desire",Round 3,Adrien Krifa,"Cindra, Dracai of Retribution",Win
Adrien Krifa,"Cindra, Dracai of Retribution",Round 3,Giannis Koumidis,"Nuu, Alluring Desire",Loss
Kevin Zänker,"Nuu, Alluring Desire",Round 3,Roman Legíň,"Florian, Rotwood Harbinger",Loss
Roman Legíň,"Florian, Rotwood Harbinger",Round 3,Kevin Zänker,"Nuu, Alluring Desire",Win
Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Round 3,Jean Luka Zorko,"Prism, Awakener of Sol",Win
Jean Luka Zorko,"Prism, Awakener of Sol",Round 3,Mauro Giuseppe Di Lauro,"Florian, Rotwood Harbinger",Loss
Angelo Zaccardi,"Cindra, Dracai of Retribution",Round 3,Marko Leben,"Gravy Bones, Shipwrecked Looter",Loss
Marko Leben,"Gravy Bones, Shipwrecked Looter",Round 3,Angelo Zaccardi,"Cindra, Dracai of Retribution",Win
Marvin Heusinger,"Cindra, Dracai of Retribution",Round 3,Ilias Karamanis,"Kayo, Armed and Dangerous",Win
Ilias Karamanis,"Kayo, Armed and Dangerous",Round 3,Marvin Heusinger,"Cindra, Dracai of Retribution",Loss
Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Round 3,Thomas Harle,"Gravy Bones, Shipwrecked Looter",Win
Thomas Harle,"Gravy Bones, Shipwrecked Looter",Round 3,Gustavo Cilleruelo,"Riptide, Lurker of the Deep",Loss
Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 3,David Gómez,"Verdance, Thorn of the Rose",Win
David Gómez,"Verdance, Thorn of the Rose",Round 3,Alessandro Brogi,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Mirko Dolce,"Azalea, Ace in the Hole",Round 3,Kevin Steiger,"Azalea, Ace in the Hole",Win
Kevin Steiger,"Azalea, Ace in the Hole",Round 3,Mirko Dolce,"Azalea, Ace in the Hole",Loss
Diego Paoletti,"Nuu, Alluring Desire",Round 3,Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Loss
Lubos Vanicek,"Gravy Bones, Shipwrecked Looter",Round 3,Diego Paoletti,"Nuu, Alluring Desire",Win
Tommaso Fabbri,"Azalea, Ace in the Hole",Round 3,Arthur Trehet,"Verdance, Thorn of the Rose",Win
Arthur Trehet,"Verdance, Thorn of the Rose",Round 3,Tommaso Fabbri,"Azalea, Ace in the Hole",Loss
Andrei Sebastian Suciu,"Arakni, Marionette",Round 3,Lorenzo Miele,"Prism, Awakener of Sol",Win
Lorenzo Miele,"Prism, Awakener of Sol",Round 3,Andrei Sebastian Suciu,"Arakni, Marionette",Loss
Jason Rolfe,"Verdance, Thorn of the Rose",Round 3,Jan Kučera,"Kano, Dracai of Aether",Loss
Jan Kučera,"Kano, Dracai of Aether",Round 3,Jason Rolfe,"Verdance, Thorn of the Rose",Win
Mathias W,"Vynnset, Iron Maiden",Round 3,Alex Smith,"Azalea, Ace in the Hole",Win
Alex Smith,"Azalea, Ace in the Hole",Round 3,Mathias W,"Vynnset, Iron Maiden",Loss
Emanuele Zanella,"Azalea, Ace in the Hole",Round 3,Roy Sammour,"Oscilio, Constella Intelligence",Loss
Roy Sammour,"Oscilio, Constella Intelligence",Round 3,Emanuele Zanella,"Azalea, Ace in the Hole",Win
Andreas Capsalis,"Cindra, Dracai of Retribution",Round 3,Tim Heibrok,"Florian, Rotwood Harbinger",Loss
Tim Heibrok,"Florian, Rotwood Harbinger",Round 3,Andreas Capsalis,"Cindra, Dracai of Retribution",Win
Lachlan Maddaford,"Arakni, Marionette",Round 3,András Kovács,"Azalea, Ace in the Hole",Win
András Kovács,"Azalea, Ace in the Hole",Round 3,Lachlan Maddaford,"Arakni, Marionette",Loss
Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Round 3,Federico Sirri,Kassai of the Golden Sand,Loss
Federico Sirri,Kassai of the Golden Sand,Round 3,Łukasz Gryziewicz,"Cindra, Dracai of Retribution",Win
Brent Van de Staey,"Cindra, Dracai of Retribution",Round 3,Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Loss
Evan Tanguy,"Gravy Bones, Shipwrecked Looter",Round 3,Brent Van de Staey,"Cindra, Dracai of Retribution",Win
Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Round 3,"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Win
"""Lello"" Alessandro Stefanelli","Azalea, Ace in the Hole",Round 3,Panagiotis Xanthopoulos,"Florian, Rotwood Harbinger",Loss
Giuseppe Cervone,"Florian, Rotwood Harbinger",Round 3,David Chirulescu,Kassai of the Golden Sand,Win
David Chirulescu,Kassai of the Golden Sand,Round 3,Giuseppe Cervone,"Florian, Rotwood Harbinger",Loss
George Jones,"Nuu, Alluring Desire",Round 3,Sergio Amigo,"Nuu, Alluring Desire",Win
Sergio Amigo,"Nuu, Alluring Desire",Round 3,George Jones,"Nuu, Alluring Desire",Loss
Jaka Burnik,"Cindra, Dracai of Retribution",Round 3,George Chew,"Kayo, Armed and Dangerous",Loss
George Chew,"Kayo, Armed and Dangerous",Round 3,Jaka Burnik,"Cindra, Dracai of Retribution",Win
Tim Dasiukevich,"Riptide, Lurker of the Deep",Round 3,Marc Germond,"Ira, Scarlet Revenger",Loss
Marc Germond,"Ira, Scarlet Revenger",Round 3,Tim Dasiukevich,"Riptide, Lurker of the Deep",Win
Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Round 3,Lukasz Bigos,"Puffin, Hightail",Win
Lukasz Bigos,"Puffin, Hightail",Round 3,Maciej Chmielewski,"Gravy Bones, Shipwrecked Looter",Loss
Faustin Falissard,Jarl Vetreiði,Round 3,Gregory Patellis,"Prism, Awakener of Sol",Loss
Gregory Patellis,"Prism, Awakener of Sol",Round 3,Faustin Falissard,Jarl Vetreiði,Win
David Luckey,"Azalea, Ace in the Hole",Round 3,Matteo Brunori,"Azalea, Ace in the Hole",Loss
Matteo Brunori,"Azalea, Ace in the Hole",Round 3,David Luckey,"Azalea, Ace in the Hole",Win
Piergiorgio Villani,Kassai of the Golden Sand,Round 3,Gints Dreimanis,"Arakni, Marionette",Win
Gints Dreimanis,"Arakni, Marionette",Round 3,Piergiorgio Villani,Kassai of the Golden Sand,Loss
Simone Pagani,"Marlynn, Treasure Hunter",Round 3,Julian Cappallo,"Florian, Rotwood Harbinger",Loss
Julian Cappallo,"Florian, Rotwood Harbinger",Round 3,Simone Pagani,"Marlynn, Treasure Hunter",Win
Sebastian Niedzielec,Dorinthea Ironsong,Round 3,Gabriele Panichi,"Prism, Awakener of Sol",Win
Gabriele Panichi,"Prism, Awakener of Sol",Round 3,Sebastian Niedzielec,Dorinthea Ironsong,Loss
Enki Dupaquier,Kassai of the Golden Sand,Round 3,Jorge Jimenez,"Florian, Rotwood Harbinger",Win
