Player,Hero,Round,Opponent,Opponent Hero,Result
Yorick Schulte,Kassai of the Golden Sand,Round 6,Ian Zhang,"Nuu, Alluring Desire",Win
Brent Van de Staey,"Cindra, Dracai of Retribution",Round 6,KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
KONSTANTINOS STERGIOU,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 6,Brent Van de Staey,"Cindra, Dracai of Retribution",Loss
Gints Dreimanis,"Arakni, Marionette",Round 6,Márton Kovács,"Cindra, Dracai of Retribution",Win
Márton Kovács,"Cindra, Dracai of Retribution",Round 6,Gints Dreimanis,"Arakni, Marionette",Loss
Alex Kondov,"Prism, Awakener of Sol",Round 6,Simone Rainaldi,"Oscilio, Constella Intelligence",Loss
Simone Rainaldi,"Oscilio, Constella Intelligence",Round 6,Alex Kondov,"Prism, Awakener of Sol",Win
CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Round 6,Isidoros Popovits,"Azalea, Ace in the Hole",Loss
Isidoros Popovits,"Azalea, Ace in the Hole",Round 6,CHRISTOS KOSTAKIS,"Ira, Scarlet Revenger",Win
Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 6,Tommaso Viscido,"Nuu, Alluring Desire",Loss
Tommaso Viscido,"Nuu, Alluring Desire",Round 6,Matteo Frescucci,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Win
Jonas Benzarti,"Arakni, Marionette",Round 6,Maximilian Reichl,"Arakni, Marionette",Win
Maximilian Reichl,"Arakni, Marionette",Round 6,Jonas Benzarti,"Arakni, Marionette",Loss
Christian Hauck,Dorinthea Ironsong,Round 6,Samuel Mudry,"Kano, Dracai of Aether",Loss
Samuel Mudry,"Kano, Dracai of Aether",Round 6,Christian Hauck,Dorinthea Ironsong,Win
Jan-Hendrik Brinkforth,Jarl Vetreiði,Round 6,Nathanaël frederic,"Azalea, Ace in the Hole",Win
Nathanaël frederic,"Azalea, Ace in the Hole",Round 6,Jan-Hendrik Brinkforth,Jarl Vetreiði,Loss
Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Round 6,Edoardo La Rosa,"Vynnset, Iron Maiden",Win
Edoardo La Rosa,"Vynnset, Iron Maiden",Round 6,Max Dieckmann,"Gravy Bones, Shipwrecked Looter",Loss
Matteo Blasi,"Florian, Rotwood Harbinger",Round 6,Adrien Druart,"Nuu, Alluring Desire",Win
Adrien Druart,"Nuu, Alluring Desire",Round 6,Matteo Blasi,"Florian, Rotwood Harbinger",Loss
Angelo Zaccardi,"Cindra, Dracai of Retribution",Round 6,Francesco D'Amendola,"Kayo, Armed and Dangerous",Win
Francesco D'Amendola,"Kayo, Armed and Dangerous",Round 6,Angelo Zaccardi,"Cindra, Dracai of Retribution",Loss
Florian Schmidt,"Prism, Awakener of Sol",Round 6,Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Loss
Andrea Albani,"Arakni, 5L!p3d 7hRu 7h3 cR4X",Round 6,Florian Schmidt,"Prism, Awakener of Sol",Win
Vasil Popov,"Arakni, Marionette",Round 6,Panagiotis Pavlou,"Prism, Awakener of Sol",Win
Panagiotis Pavlou,"Prism, Awakener of Sol",Round 6,Vasil Popov,"Arakni, Marionette",Loss
Stefania Patsou,"Cindra, Dracai of Retribution",Round 6,Gianluca Razza,"Verdance, Thorn of the Rose",Win
Gianluca Razza,"Verdance, Thorn of the Rose",Round 6,Stefania Patsou,"Cindra, Dracai of Retribution",Loss
Viet Pham,"Nuu, Alluring Desire",Round 6,Nicolò Valenzano,"Azalea, Ace in the Hole",Loss
Nicolò Valenzano,"Azalea, Ace in the Hole",Round 6,Viet Pham,"Nuu, Alluring Desire",Win
Kevin Steiger,"Azalea, Ace in the Hole",Round 6,Francesco Fiumanò,"Cindra, Dracai of Retribution",Win
Francesco Fiumanò,"Cindra, Dracai of Retribution",Round 6,Kevin Steiger,"Azalea, Ace in the Hole",Loss
Matteo Brunori,"Azalea, Ace in the Hole",Round 6,Duccio Capanni,"Victor Goldmane, High and Mighty",Loss
Duccio Capanni,"Victor Goldmane, High and Mighty",Round 6,Matteo Brunori,"Azalea, Ace in the Hole",Win
Michael Wachouschek,Dash I/O,Round 6,Stefano Galli,"Verdance, Thorn of the Rose",Loss
Stefano Galli,"Verdance, Thorn of the Rose",Round 6,Michael Wachouschek,Dash I/O,Win
Sebastian Linn,"Verdance, Thorn of the Rose",Round 6,Pietro Motta,"Puffin, Hightail",Win
Pietro Motta,"Puffin, Hightail",Round 6,Sebastian Linn,"Verdance, Thorn of the Rose",Loss
Andrea Pizzetti,"Oscilio, Constella Intelligence",Round 6,Edoardo Galli,"Nuu, Alluring Desire",Loss
Edoardo Galli,"Nuu, Alluring Desire",Round 6,Andrea Pizzetti,"Oscilio, Constella Intelligence",Win
Sebastian Niedzielec,Dorinthea Ironsong,Round 6,Bottino Valerio,"Prism, Awakener of Sol",Win
Bottino Valerio,"Prism, Awakener of Sol",Round 6,Sebastian Niedzielec,Dorinthea Ironsong,Loss
Emad Kashy,"Arakni, Marionette",Round 6,James Thourgood,"Prism, Awakener of Sol",Win
James Thourgood,"Prism, Awakener of Sol",Round 6,Emad Kashy,"Arakni, Marionette",Loss
Diogo Vala,"Azalea, Ace in the Hole",Round 6,Paolo D’Innocenzo,Kassai of the Golden Sand,Loss
Paolo D’Innocenzo,Kassai of the Golden Sand,Round 6,Diogo Vala,"Azalea, Ace in the Hole",Win
David Luckey,"Azalea, Ace in the Hole",Round 6,Boris Melnykov,"Nuu, Alluring Desire",Loss
Boris Melnykov,"Nuu, Alluring Desire",Round 6,David Luckey,"Azalea, Ace in the Hole",Win
Gabriel Zugna,Kassai of the Golden Sand,Round 6,Matteo Lista,"Oscilio, Constella Intelligence",Loss
Matteo Lista,"Oscilio, Constella Intelligence",Round 6,Gabriel Zugna,Kassai of the Golden Sand,Win
Tiziano Biagetti,"Florian, Rotwood Harbinger",Round 6,Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Win
Theofilos Papadopoulos,"Levia, Shadowborn Abomination",Round 6,Tiziano Biagetti,"Florian, Rotwood Harbinger",Loss
Eugene C,"Rhinar, Reckless Rampage",Round 6,Tom Escoffier,"Arakni, Marionette",Loss
Tom Escoffier,"Arakni, Marionette",Round 6,Eugene C,"Rhinar, Reckless Rampage",Win
Jorge Jimenez,"Florian, Rotwood Harbinger",Round 6,Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Loss
Flavio Caoduro,"Gravy Bones, Shipwrecked Looter",Round 6,Jorge Jimenez,"Florian, Rotwood Harbinger",Win
Victor Sanchez,"Riptide, Lurker of the Deep",Round 6,Florian Traversaz,"Prism, Awakener of Sol",Loss
Florian Traversaz,"Prism, Awakener of Sol",Round 6,Victor Sanchez,"Riptide, Lurker of the Deep",Win
Jakub Koenner,"Prism, Awakener of Sol",Round 6,Roberto Andreocci,"Ira, Scarlet Revenger",Loss
Roberto Andreocci,"Ira, Scarlet Revenger",Round 6,Jakub Koenner,"Prism, Awakener of Sol",Win
Tudor Diaconescu,"Levia, Shadowborn Abomination",Round 6,Marco Nogarole,"Cindra, Dracai of Retribution",Loss
Marco Nogarole,"Cindra, Dracai of Retribution",Round 6,Tudor Diaconescu,"Levia, Shadowborn Abomination",Win
Daja Todesco,"Gravy Bones, Shipwrecked Looter",Round 6,Daniel Collett,"Gravy Bones, Shipwrecked Looter",Loss
Daniel Collett,"Gravy Bones, Shipwrecked Looter",Round 6,Daja Todesco,"Gravy Bones, Shipwrecked Looter",Win
Valerio Colonna,"Nuu, Alluring Desire",Round 6,Wojciech Arendt,"Prism, Awakener of Sol",Loss
Wojciech Arendt,"Prism, Awakener of Sol",Round 6,Valerio Colonna,"Nuu, Alluring Desire",Win
Riccardo Di Cesare,Kassai of the Golden Sand,Round 6,Simone Pagani,"Marlynn, Treasure Hunter",Win
Simone Pagani,"Marlynn, Treasure Hunter",Round 6,Riccardo Di Cesare,Kassai of the Golden Sand,Loss
Marcello Mutalipassi,"Arakni, Marionette",Round 6,Andrea Caregnato,"Rhinar, Reckless Rampage",Loss
