Player,Wins,Losses,Win Rate (%),Heroes Used
Andrea Malpassi,8,4,66.67,"Cindra, Dracai of Retribution"
Jacob Clements,1,3,25.0,"Prism, Awakener of Sol"
Matteo Blasi,4,2,66.67,"Florian, Rotwood Harbinger"
Sebastiano Zagatti,0,3,0.0,"Azalea, Ace in the Hole"
Giulio Monaco,7,5,58.33,"Verdance, Thorn of the Rose"
Giacomo Mosca,4,3,57.14,"Verdance, Thorn of the Rose"
Gary White,7,5,58.33,"Kano, Dracai of Aether"
Marcin Chorzepa,0,3,0.0,"Oscilio, Constella Intelligence"
Szabolcs Egri,8,4,66.67,"Nuu, Alluring Desire"
Marcello Mutalipassi,2,5,28.57,"Arakni, Marionette"
Wojciech Andrusewicz,0,3,0.0,"Gravy Bones, Shipwrecked Looter"
Tim Dasiukevich,2,3,40.0,"Riptide, Lurker of the Deep"
George Chew,2,3,40.0,"Kayo, Armed and Dangerous"
Gaia Bormida,2,5,28.57,Dorinthea Ironsong
Márton Kovács,3,3,50.0,"Cindra, Dracai of Retribution"
Mauro Giuseppe Di Lauro,6,5,54.55,"Florian, Rotwood Harbinger"
Florian Traversaz,3,4,42.86,"Prism, Awakener of Sol"
Brent Van de Staey,4,3,57.14,"Cindra, Dracai of Retribution"
piero scheriani,9,3,75.0,"Fai, Rising Rebellion"
Alessandro Berganton,1,5,16.67,"Florian, Rotwood Harbinger"
Gabriele Giacomelli,3,4,42.86,Dash I/O
Lancelot Errico,1,3,25.0,"Florian, Rotwood Harbinger"
Stefania Patsou,4,3,57.14,"Cindra, Dracai of Retribution"
Goran Lovric,2,3,40.0,"Florian, Rotwood Harbinger"
Jonas Benzarti,4,3,57.14,"Arakni, Marionette"
Alex Chițu,1,2,33.33,"Azalea, Ace in the Hole"
George Jones,5,4,55.56,"Nuu, Alluring Desire"
Raffaele Verdiani,2,3,40.0,"Verdance, Thorn of the Rose"
Tudor Diaconescu,2,5,28.57,"Levia, Shadowborn Abomination"
Piergiorgio Villani,2,3,40.0,Kassai of the Golden Sand
Josef Doležal,1,2,33.33,"Cindra, Dracai of Retribution"
Martin Holík,4,3,57.14,"Kano, Dracai of Aether"
Kevin Zänker,7,5,58.33,"Nuu, Alluring Desire"
Andrea Ceschin,1,4,20.0,Dorinthea Ironsong
Simone Rainaldi,4,3,57.14,"Oscilio, Constella Intelligence"
Roman Legíň,8,4,66.67,"Florian, Rotwood Harbinger"
Sotiris Konstantelos,1,4,20.0,"Puffin, Hightail"
Brodie Spurlock,9,3,75.0,"Gravy Bones, Shipwrecked Looter"
Panagiotis Pavlou,2,5,28.57,"Prism, Awakener of Sol"
Max Dieckmann,4,3,57.14,"Gravy Bones, Shipwrecked Looter"
Francesco Motta,9,3,75.0,"Fang, Dracai of Blades"
Maurice Hostettler,4,3,57.14,"Azalea, Ace in the Hole"
Christian Hauck,3,3,50.0,Dorinthea Ironsong
Jeremy Miller,3,3,50.0,"Nuu, Alluring Desire"
András Kovács,2,3,40.0,"Azalea, Ace in the Hole"
Samuel Mudry,8,4,66.67,"Kano, Dracai of Aether"
Felix Krisch,7,5,58.33,"Levia, Shadowborn Abomination"
Viet Pham,2,5,28.57,"Nuu, Alluring Desire"
Jurij Di Carlo,1,5,16.67,"Florian, Rotwood Harbinger"
Mauro Annetta,0,1,0.0,Jarl Vetreiði
Alessio Viola,2,3,40.0,Jarl Vetreiði
Bogdan-Andrei Oros,4,3,57.14,"Florian, Rotwood Harbinger"
Evan Tanguy,9,3,75.0,"Gravy Bones, Shipwrecked Looter"
Rob Catton,4,3,57.14,"Prism, Awakener of Sol"
Andrea Milaneschi,4,3,57.14,"Vynnset, Iron Maiden"
Lorenzo Miele,4,3,57.14,"Prism, Awakener of Sol"
Andrea Albani,3,4,42.86,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Simone Quartieri,0,5,0.0,"Florian, Rotwood Harbinger"
Tim Heibrok,4,3,57.14,"Florian, Rotwood Harbinger"
Arthur Trehet,2,3,40.0,"Verdance, Thorn of the Rose"
KONSTANTINOS STERGIOU,4,3,57.14,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Thomas Harle,4,3,57.14,"Gravy Bones, Shipwrecked Looter"
Finn Baird,0,3,0.0,"Arakni, 5L!p3d 7hRu 7h3 cR4X"
Marek Fila,2,3,40.0,"Fang, Dracai of Blades"
