Hero,Opponent Hero,Wins,Losses,Total Matches,Win Rate (%)
"Riptide, Lurker of the Deep","Azalea, Ace in the Hole",1,1,2,50.0
"Riptide, Lurker of the Deep","Puffin, Hightail",0,2,2,0.0
"Riptide, Lurker of the Deep",Dorinthea Ironsong,1,1,2,50.0
"Riptide, Lurker of the Deep","Kano, Dracai of Aether",1,0,1,100.0
"Arakni, Marionette","Azalea, Ace in the Hole",6,4,10,60.0
"Arakni, Marionette","Florian, Rotwood Harbinger",4,6,10,40.0
"Arakni, Marionette","Puffin, Hightail",2,2,4,50.0
"Arakni, Marionette","Nuu, Alluring Desire",2,7,9,22.22
"Arakni, Marionette","Cindra, Dracai of Retribution",8,8,16,50.0
"Arakni, Marionette","Gravy Bones, Shipwrecked Looter",2,6,8,25.0
"Arakni, Marionette","Fang, Dracai of Blades",3,2,5,60.0
"Arakni, Marionette","Arakni, Marionette",4,4,8,50.0
"Arakni, Marionette","Riptide, Lurker of the Deep",2,1,3,66.67
"Arakni, Marionette","Ira, Scarlet Revenger",2,1,3,66.67
"Arakni, Marionette",Jarl Vetreiði,2,1,3,66.67
"Arakni, Marionette",Kassai of the Golden Sand,6,1,7,85.71
"Arakni, Marionette","Verdance, Thorn of the Rose",6,3,9,66.67
"Arakni, Marionette","Prism, Awakener of Sol",9,5,14,64.29
"Arakni, Marionette",Dorinthea Ironsong,1,0,1,100.0
"Arakni, Marionette","Vynnset, Iron Maiden",2,1,3,66.67
"Arakni, Marionette","Kayo, Armed and Dangerous",2,1,3,66.67
"Arakni, Marionette","Oscilio, Constella Intelligence",0,2,2,0.0
"Arakni, Marionette","Victor Goldmane, High and Mighty",1,2,3,33.33
"Arakni, Marionette","Arakni, 5L!p3d 7hRu 7h3 cR4X",2,0,2,100.0
"Arakni, Marionette","Kano, Dracai of Aether",1,2,3,33.33
"Arakni, Marionette",Dash I/O,2,0,2,100.0
"Arakni, Marionette","Marlynn, Treasure Hunter",1,0,1,100.0
"Arakni, Marionette","Rhinar, Reckless Rampage",1,1,2,50.0
"Verdance, Thorn of the Rose","Cindra, Dracai of Retribution",6,14,20,30.0
"Verdance, Thorn of the Rose","Prism, Awakener of Sol",7,6,13,53.85
"Verdance, Thorn of the Rose","Vynnset, Iron Maiden",3,2,5,60.0
"Verdance, Thorn of the Rose","Azalea, Ace in the Hole",11,8,19,57.89
"Verdance, Thorn of the Rose","Oscilio, Constella Intelligence",5,5,10,50.0
"Verdance, Thorn of the Rose",Kassai of the Golden Sand,3,1,4,75.0
"Verdance, Thorn of the Rose",Dash I/O,4,1,5,80.0
"Verdance, Thorn of the Rose","Kano, Dracai of Aether",1,8,9,11.11
"Verdance, Thorn of the Rose","Levia, Shadowborn Abomination",3,1,4,75.0
"Verdance, Thorn of the Rose","Arakni, 5L!p3d 7hRu 7h3 cR4X",3,2,5,60.0
"Verdance, Thorn of the Rose","Fang, Dracai of Blades",3,0,3,100.0
"Verdance, Thorn of the Rose",Jarl Vetreiði,3,0,3,100.0
"Verdance, Thorn of the Rose","Puffin, Hightail",6,0,6,100.0
